﻿Title:,"Table 6 - Tuition fees and education contracts analysed by HE provider, domicile, mode, level, source"
Subtitle:,"Academic years 2016/17 to 2024/25"
Reference ID:,DT031 Table 6
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Source of fee,Total 
,Academic year,2023/24 
,Financial Year End,All 
Search:,


"","","(£000s)"
"UKPRN","HE Provider","Financial Year End","Total Home fees","Total Rest of UK fees","Total UK fees","Total EU fees","Total UK and EU fees","Total Non-EU fees","Total Non-UK fees","Total HE course fees","Total research training support grants","Non-credit bearing course fees","FE course fees","Total tuition fees and education contracts","Of which: Net fee income relating to contracted out activity "
"10022047","Empire College London Limited","2024-03-31","","","1,123","","","","0","1,123","0","0","0","1,123","0"
"10089771","Engineering College of Technology Limited","2023-10-31","","","0","","","","0","0","0","0","0","0","0"
"10042570","Escape Studios","2024-07-31","","","6,327","","","","119","6,446","0","929","0","7,375","0"
"10007791","The University of Essex","2024-07-31","","","76,260","","","","102,465","178,725","39","1,311","0","180,075","0"
"10002313","ESCP Europe Business School","2023-12-31","","","363","","","","11,114","11,477","0","1,145","0","12,622","0"
"10007792","The University of Exeter","2024-07-31","","","200,201","","","","137,586","337,787","6,380","6,404","0","350,571","0"
"10008640","Falmouth University","2024-07-31","","","59,261","","","","5,982","65,243","0","57","0","65,300","1,631"
"10045476","Met Film School Limited","2023-09-30","","","2,485","","","","8,030","10,515","0","0","0","10,515","0"
"10004511","The National Film and Television School","2024-07-31","","","2,975","","","","3,275","6,250","0","2,396","0","8,646","0"
"10022087","Futureworks","2023-08-31","","","3,700","","","","54","3,754","0","28","0","3,782","0"
"10042500","Global Banking School Limited","2024-02-29","","","11,659","","","","0","11,659","0","0","0","11,659","0"
"10007762","Glasgow Caledonian University","2024-07-31","27,387","1,777","29,164","423","29,587","48,544","","78,131","0","3,479","0","81,610",""
"10002681","Glasgow School of Art","2024-07-31","2,394","3,418","5,812","890","6,702","16,167","","22,869","0","770","0","23,639",""
"10007794","The University of Glasgow","2024-07-31","43,339","24,896","68,235","9,057","77,292","293,257","","370,549","17,412","7,237","0","395,198",""
"10007145","University of Gloucestershire","2024-07-31","","","46,895","","","","15,723","62,618","0","4,686","0","67,304","0"
"10002718","Goldsmiths College","2024-07-31","","","39,402","","","","58,785","98,187","509","2,338","0","101,034","0"
"10006841","University of Greater Manchester","2024-07-31","","","61,789","","","","19,407","81,196","0","1,017","2,497","84,710","0"
"10007146","The University of Greenwich","2024-07-31","","","139,451","","","","116,623","256,074","0","1,282","0","257,356","765"
"10007825","Guildhall School of Music and Drama","2024-03-31","","","6,914","","","","5,677","12,591","0","5,083","0","17,674","0"
"10040812","Harper Adams University","2024-07-31","","","20,262","","","","1,718","21,980","0","0","0","21,980","0"
"10080811","Hartpury University","2024-07-31","","","18,167","","","","2,320","20,487","0","235","766","21,488","0"
"10000163","Health Sciences University","2024-07-31","","","7,588","","","","3,210","10,798","0","617","27","11,442","0"
"10007764","Heriot-Watt University","2024-07-31","12,900","7,381","20,281","6,609","26,890","112,670","","139,560","5,326","1,972","0","146,858",""
"10007147","University of Hertfordshire","2024-07-31","","","95,038","","","","191,878","286,916","511","1,942","0","289,369","5,130"
"10020118","Higher Rhythm Limited","2024-03-31","","","0","","","","0","0","0","0","0","0","0"
"10007148","The University of Huddersfield","2024-07-31","","","89,671","","","","33,856","123,527","652","7,130","0","131,309","6,305"
"10007149","The University of Hull","2024-07-31","","","80,916","","","","45,432","126,348","836","733","0","127,917","0"
"10003239","ICON College of Technology and Management","2023-09-30","","","8,110","","","","0","8,110","0","0","0","8,110","0"
"10003270","Imperial College of Science, Technology and Medicine","2024-07-31","","","109,034","","","","354,949","463,983","26,209","17,289","0","507,481","0"
"10003284","Inchbald School of Design Limited","2024-07-31","","","332","","","","258","590","0","731","0","1,321","0"
"10057622","The School of Information Risk Management","2024-07-31","","","107","","","","0","107","0","0","0","107","0"
"10013220","Institute of Art - London Limited","2023-08-31","","","592","","","","5,659","6,251","0","2,036","0","8,287","0"
"10067388","The Institute of Ismaili Studies","2023-12-31","","","0","","","","0","0","0","0","0","0","0"
"10035638","Institute of Contemporary Music Performance","2023-08-31","","","6,639","","","","4,649","11,288","0","578","0","11,866","0"
"10027603","International College of Musical Theatre","2023-09-30","","","104","","","","31","135","0","445","0","580","0"
"10082728","INTO University Partnerships Limited","2024-07-31","","","0","","","","13,756","13,756","0","0","54,055","67,811","0"
"10029682","The Islamic College","2023-08-31","","","431","","","","168","599","0","300","0","899","0"
"10067601","JSA Education Group Ltd.","2024-07-31","","","1,273","","","","338","1,611","0","350","0","1,961","0"
"10082570","Kaplan International Colleges U.K. Limited","2023-12-30","","","234","","","","14,947","15,181","0","122,463","0","137,644","0"
"10021682","Kaplan Open Learning (Essex) Limited","2023-12-31","","","6,019","","","","9,783","15,802","0","0","0","15,802","0"
"10007767","Keele University","2024-07-31","","","84,870","","","","17,876","102,746","0","0","0","102,746","0"
"10007150","The University of Kent","2024-07-31","","","110,406","","","","45,608","156,014","2,086","470","0","158,570","0"
"10083476","The King's Foundation","2024-03-31","","","43","","","","75","118","0","0","0","118","0"
"10003645","King's College London","2024-07-31","","","207,367","","","","364,098","571,465","16,556","42,476","0","630,497","2,280"
"10003678","Kingston University","2024-07-31","","","105,515","","","","67,030","172,545","693","3,376","395","177,009","0"
"10003758","LAMDA Limited","2024-07-31","","","1,800","","","","3,593","5,393","0","1,007","0","6,400","0"
"10007141","University of Lancashire","2024-07-31","","","129,639","","","","79,993","209,632","0","2,174","4,987","216,793","972"
"10007768","The University of Lancaster","2024-07-31","","","100,040","","","","104,037","204,077","1,071","1,660","0","206,808","0"
"10003854","Leeds Arts University","2024-07-31","","","17,668","","","","3,140","20,808","0","32","266","21,106","0"
"10003861","Leeds Beckett University","2024-07-31","","","141,641","","","","55,408","197,049","0","2,313","0","199,362","2,625"
"10003798","Le Cordon Bleu Limited","2023-12-31","","","1,355","","","","5,418","6,773","0","2,383","0","9,156","0"
"10034449","Leeds Conservatoire","2024-07-31","","","11,670","","","","1,892","13,562","0","0","0","13,562","0"
"10007795","The University of Leeds","2024-07-31","","","197,377","","","","335,346","532,723","12,681","19,724","0","565,128","0"
"10003863","Leeds Trinity University","2024-07-31","","","56,230","","","","1,025","57,255","0","45","0","57,300","0"
"10082828","College of Legal Practice Limited","2024-06-30","","","1,371","","","","270","1,641","0","0","0","1,641","0"
"10007796","The University of Leicester","2024-07-31","","","113,218","","","","72,080","185,298","5,017","2,177","0","192,492","0"
"10007151","The University of Lincoln","2024-07-31","","","114,327","","","","50,198","164,525","0","833","241","165,599","0"
"10007811","Lincoln Bishop University","2024-07-31","","","14,301","","","","742","15,043","0","0","0","15,043","0"
"10036456","Academy of Live Technology Ltd","2023-12-31","","","1,464","","","","0","1,464","0","0","0","1,464","0"
"10003956","Liverpool Hope University","2024-07-31","","","39,124","","","","2,673","41,797","0","1,821","0","43,618","0"
"10003957","Liverpool John Moores University","2024-07-31","","","186,554","","","","19,382","205,936","0","11,423","0","217,359","0"
"10031239","LMA","2024-06-30","","","0","","","","0","0","0","0","0","0","0"
"10003945","The Liverpool Institute for Performing Arts","2024-07-31","","","7,299","","","","4,046","11,345","0","680","0","12,025","0"
"10006842","The University of Liverpool","2024-07-31","","","173,917","","","","170,599","344,516","11,001","11,584","0","367,101","0"
"10003958","Liverpool School of Tropical Medicine","2024-07-31","","","635","","","","534","1,169","334","548","0","2,051","0"
"10007162","University of the Arts, London","2024-07-31","","","89,110","","","","242,148","331,258","0","27,196","13,767","372,221","0"
"10013109","London Bridge Business Academy","2023-12-31","","","958","","","","0","958","0","0","0","958","0"
"10007769","London Business School","2024-07-31","","","18,743","","","","98,313","117,056","0","63,668","0","180,724","0"
"10030391","London Churchill College Ltd","2023-11-30","","","3,775","","","","0","3,775","0","0","0","3,775","0"
"10007797","University of London (Institutes and activities)","2024-07-31","","","8,791","","","","78,484","87,275","0","562","0","87,837","0"
"10039082","City and Guilds of London Art School","2023-08-31","","","1,576","","","","320","1,896","0","61","889","2,846","0"
"10023434","London School of Commerce & IT Limited","2024-03-31","","","346","","","","0","346","0","0","0","346","0"
"10004036","London Film School Limited","2023-08-31","","","803","","","","4,901","5,704","0","0","0","5,704","0"
"10015506","The London College","2024-07-31","","","5,062","","","","0","5,062","0","0","0","5,062","0"
"10004048","London Metropolitan University","2024-07-31","","","88,946","","","","39,272","128,218","0","1,653","0","129,871","0"
"10032594","London School of Academics Ltd","2024-03-31","","","778","","","","0","778","0","0","0","778","0"
"10004078","London South Bank University","2024-07-31","","","96,044","","","","32,854","128,898","0","5,130","3,579","137,607","0"
"10004063","London School of Economics and Political Science","2024-07-31","","","65,719","","","","201,030","266,749","0","49,689","0","316,438","0"
"10007771","London School of Hygiene and Tropical Medicine","2024-07-31","","","3,841","","","","19,058","22,899","0","1,784","0","24,683","0"
"10022285","London School of Management Education","2023-08-31","","","4,727","","","","0","4,727","0","0","0","4,727","0"
"10004075","London School of Theology","2023-08-31","","","1,346","","","","624","1,970","0","54","0","2,024","0"
"10004079","London Studio Centre","2024-07-31","","","3,402","","","","750","4,152","0","0","0","4,152","0"
"10029147","London School of Jewish Studies","2024-07-31","","","116","","","","61","177","0","0","0","177","0"
"10062810","The London School of Architecture","2024-06-30","","","860","","","","126","986","0","0","0","986","0"
"10065543","London Brookes College","2024-03-31","","","0","","","","0","0","0","0","1,019","1,019","0"
"10004035","The Film Education Training Trust Limited","2024-01-31","","","1,004","","","","1,976","2,980","0","464","0","3,444","0"
"10067623","The London Interdisciplinary School Ltd","2024-06-30","","","1,103","","","","133","1,236","0","0","0","1,236","0"
"10004113","Loughborough University","2024-07-31","","","116,635","","","","68,712","185,347","0","1,322","140","186,809","0"
"10009612","Luther King House Educational Trust","2023-08-31","","","164","","","","17","181","0","9","0","190","0"
"10042679","International Business College Manchester Limited","2024-01-31","","","54","","","","225","279","0","520","0","799","0"
"10004180","The Manchester Metropolitan University","2024-07-31","","","272,560","","","","80,204","352,764","0","1,020","0","353,784","0"
"10007798","The University of Manchester","2024-07-31","","","232,353","","","","454,574","686,927","37","27,334","0","714,298","2,488"
"10009527","Istituto Marangoni Limited","2024-06-30","","","2,644","","","","23,855","26,499","0","382","1,104","27,985","0"
"10023452","The Markfield Institute of Higher Education","2023-12-31","","","434","","","","51","485","0","42","0","527","0"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2023-08-31","","","555","","","","0","555","0","0","0","555","0"
"10020416","Missio Dei","2024-06-30","","","662","","","","0","662","0","0","0","662","0"
"10083397","College of Medicine and Dentistry","2023-08-31","","","489","","","","5,391","5,880","0","0","0","5,880","0"
"10030776","St Mellitus College","2024-07-31","","","1,972","","","","0","1,972","0","1,170","88","3,230","0"
"10004320","The Metanoia Institute","2023-08-31","","","2,439","","","","21","2,460","0","2,722","0","5,182","0"
"10004351","Middlesex University","2024-07-31","","","70,244","","","","64,750","134,994","0","11,795","0","146,789","0"
"10032277","The Minster Centre","2024-06-30","","","436","","","","0","436","0","1,215","0","1,651","0"
"10049370","MLA College","2023-09-30","","","332","","","","775","1,107","0","0","0","1,107","0"
"10004450","Mountview Academy of Theatre Arts","2023-08-31","","","5,005","","","","953","5,958","0","867","0","6,825","0"
"10023777","Mont Rose College of Management and Sciences Limited","2023-08-31","","","4,760","","","","0","4,760","0","0","0","4,760","0"
"10023454","Moorlands College","2024-06-30","","","971","","","","53","1,024","0","9","7","1,040","0"
"10055902","Multiverse","2024-03-31","","","52,608","","","","0","52,608","0","0","0","52,608","0"
"10001444","National Centre for Circus Arts","2023-08-31","","","428","","","","305","733","0","471","0","1,204","0"
"10000216","All Nations Christian College Limited","2023-08-31","","","204","","","","190","394","0","184","0","578","0"
"10090839","National Institute of Teaching","2024-07-31","","","4,130","","","","19","4,149","0","7,306","0","11,455","0"
"10053304","Navitas UK Holdings Limited","2024-06-30","","","0","","","","0","0","0","0","0","0","0"
"10004538","Nazarene Theological College","2024-06-30","","","591","","","","260","851","0","27","0","878","0"
"10030129","Nelson College London Ltd","2024-07-31","","","14,757","","","","0","14,757","0","0","0","14,757","0"
"10023456","Newbold College","2023-12-31","","","288","","","","212","500","0","0","22","522","0"
"10007799","Newcastle University","2024-07-31","","","164,590","","","","149,190","313,780","4,722","3,865","0","322,367","0"
"10067406","New Model Institute for Technology and Engineering (NMITE)","2024-07-31","","","653","","","","0","653","0","89","0","742","0"
"10048199","Northeastern University London","2024-06-30","","","5,173","","","","2,962","8,135","0","238","52","8,425","0"
"10008397","Norland College","2024-07-31","","","4,292","","","","167","4,459","0","0","0","4,459","0"
"10007138","The University of Northampton","2024-07-31","","","98,438","","","","51,864","150,302","0","8,973","0","159,275","3,356"
"10008816","Northern School of Contemporary Dance","2024-07-31","","","1,912","","","","741","2,653","0","290","0","2,943","0"
"10004740","Northern College of Acupuncture","2024-06-30","","","961","","","","0","961","0","43","0","1,004","0"
"10001282","University of Northumbria at Newcastle","2024-07-31","","","166,016","","","","99,196","265,212","2,716","7,661","0","275,589","0"
"10004775","Norwich University of the Arts","2024-07-31","","","23,545","","","","2,785","26,330","0","0","0","26,330","0"
"10007154","University of Nottingham","2024-07-31","","","229,667","","","","183,636","413,303","18,523","5,808","0","437,634","0"
"10004797","The Nottingham Trent University","2024-07-31","","","249,867","","","","104,554","354,421","0","1,183","5,611","361,215","0"
"10007773","The Open University","2024-07-31","","","377,276","","","","27,824","405,100","1,630","773","0","407,503","0"
"10004930","Oxford Brookes University","2024-07-31","","","132,467","","","","46,911","179,378","0","1,836","53","181,267","7,948"
"10007774","The University of Oxford","2024-07-31","","","136,797","","","","275,709","412,506","59,650","78,836","0","550,992","0"
"10064423","Oxford International Education Group","2023-08-31","","","444","","","","32,245","32,689","0","46,211","0","78,900","0"
"10066143","Paris Dauphine International","2024-07-31","","","73","","","","1,707","1,780","105","64","0","1,949","0"
"10083464","Peking University HSBC Business School UK Campus","2023-12-31","","","0","","","","1,276","1,276","0","0","0","1,276","0"
"10004028","The Place, London Contemporary Dance School (LCDS)","2024-07-31","","","1,448","","","","1,719","3,167","0","1,098","0","4,265","0"
"10005127","Arts University Plymouth","2024-07-31","","","8,435","","","","929","9,364","0","42","48","9,454","0"
"10007801","University of Plymouth","2024-07-31","","","122,738","","","","37,296","160,034","1,395","647","0","162,076","0"
"10019178","Point Blank Music School","2023-12-31","","","5,414","","","","3,090","8,504","0","1,780","0","10,284","0"
"10007155","The University of Portsmouth","2024-07-31","","","126,488","","","","87,285","213,773","62","5,546","0","219,381","2,665"
"10005337","Queen Margaret University, Edinburgh","2024-07-31","7,449","1,659","9,108","4,223","13,331","6,508","","19,839","0","0","0","19,839",""
"10007775","Queen Mary University of London","2024-07-31","","","151,776","","","","227,481","379,257","0","5,103","0","384,360","0"
"10025197","University Centre Quayside Limited","2024-02-28","","","923","","","","0","923","0","0","1,513","2,436","0"
"10009292","Royal Academy of Dramatic Art","2024-07-31","","","1,434","","","","704","2,138","0","2,359","0","4,497","0"
"10005544","Royal Academy of Dance","2024-07-31","","","916","","","","132","1,048","0","0","0","1,048","0"
"10005378","Rambert School","2024-07-31","","","934","","","","1,102","2,036","0","18","0","2,054","0"
"10005389","Ravensbourne University London","2024-07-31","","","29,878","","","","25,094","54,972","0","0","304","55,276","2,395"
"10005470","Richmond, The American International University in London","2024-06-30","","","1,365","","","","14,459","15,824","0","0","0","15,824","0"
"10007802","The University of Reading","2024-07-31","","","111,267","","","","84,532","195,799","4,593","9,824","0","210,216","0"
"10086591","Regent's University London Limited","2024-06-30","","","8,011","","","","36,444","44,455","0","2,210","0","46,665","0"
"10021100","Regents Theological College","2023-09-30","","","733","","","","20","753","0","70","0","823","0"
"10023871","Results Consortium Limited","2024-07-31","","","2,891","","","","0","2,891","0","0","95","2,986","0"
"10062833","Raindance Educational Services Limited","2023-10-31","","","193","","","","144","337","0","0","0","337","0"
"10008455","Regent College London","2024-07-31","","","33,100","","","","7,165","40,265","0","0","0","40,265","0"
"10005500","Robert Gordon University","2024-07-31","17,465","2,504","19,969","1,222","21,191","30,028","","51,219","142","1,063","0","52,424",""
"10007776","Roehampton University","2024-07-31","","","49,148","","","","60,772","109,920","0","189","0","110,109","0"
"10020436","Royal School of Needlework (The)","2023-08-31","","","0","","","","0","0","0","413","768","1,181","0"
"10005523","Rose Bruford College of Theatre and Performance","2024-07-31","","","6,897","","","","1,438","8,335","0","485","0","8,820","0"
"10007835","Royal Academy of Music","2024-07-31","","","4,560","","","","7,414","11,974","0","1,130","0","13,104","0"
"10005545","Royal Agricultural University","2024-07-31","","","7,350","","","","1,587","8,937","0","3,233","0","12,170","0"
"10007777","Royal College of Art","2024-07-31","","","8,752","","","","66,669","75,421","0","542","0","75,963","0"
"10007778","Royal College of Music","2024-07-31","","","4,817","","","","12,314","17,131","0","2,414","0","19,545","0"
