word,year,freq_per_million,freq_smooth_5yr,freq_smooth_10yr,pct_change_yoy,in_recession,total_freq,pct_of_colour_total
white,1804,75.27934940299019,129.10965597257018,123.66374940029345,0,FALSE,346.1830849573744,21.745530811321807
black,1805,67.38310912624002,121.09063245588914,105.10640713619068,0,FALSE,439.0143683394854,15.348725232184963
blue,1805,26.48352165124379,35.75467817427125,35.510749330569524,0,FALSE,439.0143683394854,6.032495417271708
bright,1805,34.24117312533781,33.07539227535017,35.447802656563,0,FALSE,439.0143683394854,7.799556368701686
dark,1805,52.82903293846175,49.11146606900729,50.53607310401276,0,FALSE,439.0143683394854,12.033554422895241
golden,1805,22.95093327120412,22.594423717237078,24.557968208682723,0,FALSE,439.0143683394854,5.227831917668898
green,1805,57.598874263931066,63.060562388272956,60.871838286402635,0,FALSE,439.0143683394854,13.120043082369104
grey,1805,19.590250985856983,24.889013502615853,22.957023293201928,0,FALSE,439.0143683394854,4.462325700171171
red,1805,64.07326873159036,76.88177865929902,77.44960385025479,0,FALSE,439.0143683394854,14.594799931933697
white,1805,93.86420424561948,136.71752822119743,127.4144284252543,0,FALSE,439.0143683394854,21.380667926803536
black,1806,317.23364372737706,124.2116341018118,102.58598122163676,0,FALSE,999.2522939228365,31.74710187374103
blue,1806,57.95881224912591,36.530559009406716,34.15721239434788,0,FALSE,999.2522939228365,5.8002180832222905
bright,1806,35.642737202579156,34.79224105831236,34.71822201390751,0,FALSE,999.2522939228365,3.566940743528734
dark,1806,53.673047659685835,51.17418768350035,49.8048171721166,0,FALSE,999.2522939228365,5.371320935274284
golden,1806,27.520780349732377,23.589468037243932,24.24964968668064,0,FALSE,999.2522939228365,2.7541373201848827
green,1806,87.01050683157519,64.88400613307022,58.77127041458152,0,FALSE,999.2522939228365,8.707561379718408
grey,1806,47.551379111610004,25.75247740423947,22.272196997619176,0,FALSE,999.2522939228365,4.758696017092354
red,1806,106.2073206412606,78.36370714358054,75.01044819946401,0,FALSE,999.2522939228365,10.628679192150251
white,1806,266.4540661498904,139.1761063132435,123.78987012198195,0,FALSE,999.2522939228365,26.66534445508777
black,1807,113.35458111716434,127.04453693004325,98.15919038373977,0,FALSE,696.6067639950779,16.272391681509035
blue,1807,48.43941860599443,37.84189830184914,32.25981527066324,0,FALSE,696.6067639950779,6.953624499450983
bright,1807,41.58641240792349,34.8444125847891,33.63272535352735,0,FALSE,696.6067639950779,5.9698548101116815
dark,1807,60.82308027544059,52.49665555311367,48.46332849410828,0,FALSE,696.6067639950779,8.731336446780519
golden,1807,24.684559321030974,23.5108509514248,23.721107936580665,0,FALSE,696.6067639950779,3.5435428705089906
green,1807,92.9469897528179,66.256493300898,56.44491538987495,0,FALSE,696.6067639950779,13.342820448621806
grey,1807,30.410658837354276,26.028600177596672,21.476347887983138,0,FALSE,696.6067639950779,4.365541710067166
red,1807,112.77176236035302,82.47705409303308,71.61620997067075,0,FALSE,696.6067639950779,16.18872629280841
white,1807,171.5893013169989,142.89623650256544,118.3021129691042,0,FALSE,696.6067639950779,24.632161240141407
black,1808,68.530862336047,138.4294926538132,100.84542445838451,0,FALSE,411.3154232072702,16.661388916970637
blue,1808,27.37247632467188,41.68917512288317,33.19442785141291,0,FALSE,411.3154232072702,6.6548626140086
bright,1808,31.862517062108964,39.3997659557499,33.84668889339082,0,FALSE,411.3154232072702,7.746492172274511
dark,1808,47.00037243310362,53.99255460361019,49.305890570394695,0,FALSE,411.3154232072702,11.426844164173046
golden,1808,21.654828742612153,27.930518990615383,23.784365112078376,0,FALSE,411.3154232072702,5.264774312073351
green,1808,48.30692341784015,70.75208632159047,57.10952536901459,0,FALSE,411.3154232072702,11.74449599802566
grey,1808,17.05228942228132,27.89546451822389,21.891505593885086,0,FALSE,411.3154232072702,4.145793826381347
red,1808,60.84154301788658,90.50396183738485,73.36393537116237,0,FALSE,411.3154232072702,14.791943016254775
white,1808,88.69361045071855,157.1962086018175,121.03406916139647,0,FALSE,411.3154232072702,21.563404979838076
black,1809,68.72048834338784,86.14530524937436,100.84703935717698,0,FALSE,420.7948425118957,16.331114690752212
blue,1809,28.955262678209692,34.004251938313246,35.03986354189692,0,FALSE,420.7948425118957,6.881087825450508
bright,1809,30.889223125996068,37.919345777481794,33.38257520226762,0,FALSE,420.7948425118957,7.340684819615592
dark,1809,48.15774445887655,52.284091361798346,49.602781291469,0,FALSE,420.7948425118957,11.4444711754078
golden,1809,20.743153072544374,26.509475719649345,23.414611678163055,0,FALSE,420.7948425118957,4.929516946719225
green,1809,45.4191722383257,60.95253775129095,57.370316062588245,0,FALSE,420.7948425118957,10.793661815624967
grey,1809,15.53842253088078,21.153957368369447,21.961589777674817,0,FALSE,420.7948425118957,3.692636164009428
red,1809,68.49137571407482,79.13951558293775,74.249881436117,0,FALSE,420.7948425118957,16.27666710580907
white,1809,93.88000034959987,118.47008427139372,121.09642630093731,0,FALSE,420.7948425118957,22.310159456611192
black,1810,124.30788774508983,75.2277483115904,101.66126194235403,0,FALSE,710.9768193913624,17.484098546490536
blue,1810,45.71990575641394,28.76495236705523,35.8761802999652,0,FALSE,710.9768193913624,6.430576146709374
bright,1810,57.01793998014182,34.19005843170453,33.01763426861726,0,FALSE,710.9768193913624,8.019662304736249
dark,1810,60.308528190944344,47.81519091920927,49.45138862240128,0,FALSE,710.9768193913624,8.48248867559029
golden,1810,45.049273467157036,24.847792155924253,23.027492716209963,0,FALSE,710.9768193913624,6.3362506678799795
green,1810,80.0768393673934,49.829268391476944,56.55095410475042,0,FALSE,710.9768193913624,11.262932515288453
grey,1810,28.924572688993067,18.063682273350423,21.948940911897807,0,FALSE,710.9768193913624,4.068286321030015
red,1810,104.20780745334923,66.35064128204249,74.54615188180469,0,FALSE,710.9768193913624,14.65699086259341
white,1810,165.3640647418797,99.88669771701097,121.81788406451233,0,FALSE,710.9768193913624,23.258713959681693
black,1811,55.81270670518279,77.47921481495723,77.26937437837478,0,FALSE,343.19897599743854,16.26249220090894
blue,1811,19.534196326276287,29.858296693419106,32.877284502319526,0,FALSE,343.19897599743854,5.691799128917588
bright,1811,28.24063631123863,32.90113672846928,31.953903271642048,0,FALSE,343.19897599743854,8.228648185549774
dark,1811,45.13073145062663,47.43759345728904,48.36057414649986,0,FALSE,343.19897599743854,13.150019261993211
golden,1811,20.415563994902186,23.97926218691282,21.893724078836385,0,FALSE,343.19897599743854,5.948608656412354
green,1811,38.01276398007758,49.335044604958966,52.25345921644475,0,FALSE,343.19897599743854,11.076013228070146
grey,1811,13.843843362337793,18.0305337835307,18.852747371056466,0,FALSE,343.19897599743854,4.033765928963936
red,1811,49.38508936902508,68.3641635987442,70.10311746853404,0,FALSE,343.19897599743854,14.389637738719147
white,1811,72.82344449777156,102.89203200954944,104.72430803929456,0,FALSE,343.19897599743854,21.219015670464902
black,1812,58.76679642824456,74.64954178431071,74.25382536894176,0,FALSE,338.59409813885577,17.356119539964514
blue,1812,22.242920749704354,32.2378287819447,31.239856798492838,0,FALSE,338.59409813885577,6.569199189225867
bright,1812,22.93997567903716,31.920737819746137,30.82163675571792,0,FALSE,338.59409813885577,6.775066607814761
dark,1812,38.47857806249522,46.70890702982433,47.289461872424,0,FALSE,338.59409813885577,11.364219953625813
golden,1812,16.376141502405517,23.31837240490131,21.150287648197263,0,FALSE,338.59409813885577,4.836511206905249
green,1812,37.33064295374788,48.48413882427849,47.88622463820502,0,FALSE,338.59409813885577,11.025190090123417
grey,1812,14.959283362259157,17.89457937775296,17.846428181655938,0,FALSE,338.59409813885577,4.4180579178685
red,1812,48.82739085587673,66.02270877920091,65.83494832739234,0,FALSE,338.59409813885577,14.42062668081499
white,1812,78.67236854508519,99.29661609930918,99.22702301992103,0,FALSE,338.59409813885577,23.235008813656886
black,1813,79.78819485288113,64.89303123089485,74.0868676075479,0,FALSE,437.82165334960155,18.223903327405804
blue,1813,32.83919795649126,30.063185477047227,31.64037934766384,0,FALSE,437.82165334960155,7.500587900404526
bright,1813,25.417908545932733,26.635502581484616,31.17619016848039,0,FALSE,437.82165334960155,5.805539390633217
dark,1813,45.11238512350246,44.91022264119238,47.77671456395183,0,FALSE,437.82165334960155,10.303826861546321
golden,1813,17.312178897554986,18.124466441804543,20.99456251016818,0,FALSE,437.82165334960155,3.9541623318779013
green,1813,45.835804485250264,42.349821887910366,48.24766801903024,0,FALSE,437.82165334960155,10.469058379040534
grey,1813,16.886546973182703,16.002417305571726,17.867208043753635,0,FALSE,437.82165334960155,3.8569465086960326
red,1813,70.90915460139513,58.58834192622453,66.1969264911022,0,FALSE,437.82165334960155,16.19589941678239
white,1813,103.72028191341087,86.43955952720717,100.32835198217072,0,FALSE,437.82165334960155,23.690075883613275
black,1814,54.57212319015525,68.3934435073752,83.95324221055489,0,FALSE,372.0756076290854,14.666944586315664
blue,1814,40.85292312083766,31.750317066325806,34.3022156812367,0,FALSE,372.0756076290854,10.979736989790286
bright,1814,25.98722858238034,25.9884607658023,31.61320746585261,0,FALSE,372.0756076290854,6.984394582588836
dark,1814,44.51431232155301,44.43705693120137,48.755545867607,0,FALSE,372.0756076290854,11.96378139518579
golden,1814,17.43870416248683,17.277972438023426,20.923915144521743,0,FALSE,372.0756076290854,4.686871110312374
green,1814,41.16464333492331,43.55438068159856,53.00510565575678,0,FALSE,372.0756076290854,11.06351571854705
grey,1814,14.858650501992088,16.551537373743486,19.952283787461056,0,FALSE,372.0756076290854,3.993449233792389
red,1814,56.784101616358384,61.06671935413033,71.22641400201246,0,FALSE,372.0756076290854,15.26144161349198
white,1814,75.90292079839855,90.9785318071954,112.04600741621107,0,FALSE,372.0756076290854,20.39986476997563
black,1815,75.5253349780105,73.27990242629312,78.79509030317422,0,FALSE,448.3424099817057,16.84545858177732
blue,1815,34.846689231926575,33.714761229930446,33.45093409734545,0,FALSE,448.3424099817057,7.772338386044825
