﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2024/25 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10004351","Middlesex University","8,740","6,245","30","15,020"
"10032277","The Minster Centre","120","35","5","160"
"10049370","MLA College","35","70","0","105"
"10004450","Mountview Academy of Theatre Arts","340","180","15","535"
"10023777","Mont Rose College of Management and Sciences Limited","560","510","0","1,075"
"10023454","Moorlands College","80","90","0","175"
"10055902","Multiverse","3,625","4,940","0","8,565"
"10001444","National Centre for Circus Arts","60","10","5","70"
"10000216","All Nations Christian College Limited","25","20","0","45"
"10090839","National Institute of Teaching","560","265","15","835"
"10004538","Nazarene Theological College","60","80","0","135"
"10030129","Nelson College London Ltd","845","1,030","5","1,875"
"10023456","Newbold College","25","75","0","100"
"10007799","Newcastle University","14,460","12,705","65","27,230"
"10067406","New Model Institute for Technology and Engineering (NMITE)","20","90","0","110"
"10048199","Northeastern University London","510","535","15","1,060"
"10008397","Norland College","310","5","0","320"
"10007138","The University of Northampton","8,310","5,145","50","13,505"
"10009614","Grŵp NPTC Group","15","95","0","110"
"10008816","Northern School of Contemporary Dance","215","45","10","270"
"10004740","Northern College of Acupuncture","130","15","0","145"
"10001282","University of Northumbria at Newcastle","15,225","14,380","85","29,685"
"10004775","Norwich University of the Arts","1,845","915","0","2,765"
"10007154","University of Nottingham","20,120","16,055","285","36,460"
"10004797","The Nottingham Trent University","19,085","16,310","45","35,435"
"10007773","The Open University","80,555","44,010","15","124,580"
"10004930","Oxford Brookes University","15,520","10,555","20","26,095"
"10007774","The University of Oxford","13,615","12,580","30","26,225"
"10066143","Paris Dauphine International","110","60","5","175"
"10083464","Peking University HSBC Business School UK Campus","20","25","0","45"
"10004028","The Place, London Contemporary Dance School (LCDS)","210","30","0","235"
"10005127","Arts University Plymouth","1,095","495","20","1,610"
"10007801","University of Plymouth","11,165","6,725","55","17,945"
"10019178","Point Blank Music School","195","660","0","855"
"10007155","The University of Portsmouth","11,575","12,310","130","24,015"
"10005337","Queen Margaret University, Edinburgh","5,075","1,490","30","6,590"
"10007775","Queen Mary University of London","13,040","11,460","140","24,640"
"10025197","University Centre Quayside Limited","75","85","0","155"
"10009292","Royal Academy of Dramatic Art","120","70","0","195"
"10005544","Royal Academy of Dance","195","5","0","200"
"10005378","Rambert School","110","45","5","160"
"10005389","Ravensbourne University London","3,600","5,040","45","8,685"
"10005470","Richmond, The American International University in London","525","625","15","1,165"
"10007802","The University of Reading","10,935","10,100","330","21,370"
"10086591","Regent's University London Limited","1,535","1,075","15","2,625"
"10021100","Regents Theological College","75","90","0","165"
"10023871","Results Consortium Limited","390","405","0","795"
"10062833","Raindance Educational Services Limited","20","25","0","50"
"10008455","Regent College London","4,760","4,375","5","9,140"
"10005500","Robert Gordon University","8,920","5,825","95","14,840"
"10007776","Roehampton University","6,390","5,520","35","11,945"
"10005523","Rose Bruford College of Theatre and Performance","540","305","25","870"
"10007835","Royal Academy of Music","385","375","10","775"
"10005545","Royal Agricultural University","450","475","0","925"
"10007777","Royal College of Art","1,820","725","10","2,555"
"10007778","Royal College of Music","540","445","10","995"
"10005561","Royal Conservatoire of Scotland","740","480","10","1,230"
"10007816","The Royal Central School of Speech and Drama","705","300","10","1,015"
"10005553","Royal Holloway and Bedford New College","7,800","5,310","0","13,115"
"10007837","Royal Northern College of Music","460","460","15","935"
"10007779","The Royal Veterinary College","2,100","475","0","2,575"
"10007803","The University of St. Andrews","6,970","4,590","85","11,645"
"10008026","St Mary's University College","815","245","0","1,060"
"10007843","St Mary's University, Twickenham","3,140","2,815","10","5,965"
"10007156","The University of Salford","14,125","11,585","315","26,030"
"10021256","William Booth College","25","15","0","35"
"10008362","London School of Science and Technology Limited","0","0","0","0"
"10007780","SOAS University of London","4,030","2,370","0","6,400"
"10005700","SRUC","1,165","630","30","1,820"
"10005790","Sheffield Hallam University","17,290","13,360","115","30,765"
"10007157","The University of Sheffield","14,835","13,325","120","28,280"
"10023458","The Sherwood Psychotherapy Training Institute Limited","195","65","5","265"
"10007158","The University of Southampton","13,670","12,110","10","25,785"
"10006022","Southampton Solent University","3,770","4,705","40","8,515"
"10088214","S P Jain London School of Management Limited","40","120","0","155"
