﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Financial Year End","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10007823","Edge Hill University","2019-07-31","98,809","5,939","1,435","17,251","340","0","123,774","79,644","0","31,960","8,064","3,175","122,843"
"10007772","Edinburgh Napier University","2019-07-31","43,875","59,076","3,349","15,767","274","152","122,493","85,046","214","35,703","6,850","1,555","129,368"
"10007790","The University of Edinburgh","2019-07-31","346,850","195,819","285,654","234,018","17,413","21,750","1,101,504","756,130","0","383,033","63,758","33,014","1,235,935"
"10022047","Empire College London Limited","2019-03-31","658","0","0","0","0","0","658","299","0","171","12","0","482"
"10042570","Escape Studios","2018-12-31","7,420","0","0","88","0","0","7,508","5,016","363","6,881","1,317","0","13,577"
"10007791","The University of Essex","2019-07-31","135,723","23,832","30,901","55,272","808","59","246,595","160,723","0","93,679","11,744","15,869","282,015"
"10002313","ESCP Europe Business School","2018-12-31","8,397","1","210","865","40","595","10,108","5,585","0","4,387","136","0","10,108"
"10002344","European School of Osteopathy","2018-08-31","1,985","0","0","939","0","0","2,924","1,689","0","983","112","13","2,797"
"10007792","The University of Exeter","2019-07-31","247,898","47,006","86,965","62,751","1,408","3,250","449,278","330,399","0","142,261","46,323","6,514","525,497"
"10008640","Falmouth University","2019-07-31","53,143","3,967","1,026","6,504","188","0","64,828","27,182","0","30,172","3,651","641","61,646"
"10045476","Met Film School Limited","2018-09-30","4,559","0","0","2,519","0","0","7,078","3,530","0","3,157","151","(2)","6,836"
"10004511","The National Film and Television School","2019-07-31","6,792","5,204","836","2,649","0","895","16,376","5,898","0","8,212","1,500","256","15,866"
"10022087","Futureworks","2018-08-31","3,330","0","0","0","0","0","3,330","1,378","0","1,981","121","10","3,490"
"10042500","Global Banking School Limited","2019-02-28","0","0","0","4,449","0","0","4,449","1,034","0","2,830","10","14","3,888"
"10007762","Glasgow Caledonian University","2019-07-31","39,813","68,270","5,765","9,694","245","539","124,326","90,074","622","34,743","6,089","672","132,200"
"10002681","Glasgow School of Art","2019-07-31","16,323","14,551","3,217","17,357","(893)","0","50,555","25,698","13,386","11,411","1,966","271","52,732"
"10007794","The University of Glasgow","2019-07-31","228,234","162,824","195,064","80,236","7,195","14,343","687,896","464,072","0","251,211","33,464","8,460","757,207"
"10007145","University of Gloucestershire","2019-07-31","62,530","6,829","1,936","11,994","410","65","83,764","48,750","2,158","22,339","6,160","1,679","81,086"
"10002718","Goldsmiths College","2019-07-31","99,228","12,034","6,126","15,057","290","51","132,786","107,299","0","39,707","10,084","2,168","159,258"
"10006841","University of Greater Manchester","2019-07-31","54,122","24,645","444","6,747","87","23","86,068","49,448","49","31,647","5,062","1,152","87,358"
"10007146","The University of Greenwich","2019-07-31","143,223","20,084","14,071","31,776","584","124","209,862","103,057","752","81,471","7,213","7,935","200,428"
"10007825","Guildhall School of Music and Drama","2019-07-31","15,025","5,880","409","11,930","0","0","33,244","21,424","0","12,671","0","0","34,095"
"10040812","Harper Adams University","2019-07-31","20,639","9,025","3,172","9,700","57","1,592","44,185","23,873","0","14,141","4,250","844","43,108"
"10080811","Hartpury University","2019-07-31","15,247","11,844","0","11,971","2","1,000","40,064","20,843","0","13,143","2,409","1,190","37,585"
"10000163","Health Sciences University","2019-07-31","6,018","537","37","2,546","32","13","9,183","6,389","0","2,417","500","144","9,450"
"10007764","Heriot-Watt University","2019-07-31","123,537","48,104","33,582","32,433","1,357","1,091","240,104","148,975","46","103,946","12,415","4,851","270,233"
"10007147","University of Hertfordshire","2019-07-31","171,023","22,531","8,788","67,382","1,691","368","271,783","146,008","0","101,377","17,460","3,050","267,895"
"10007148","The University of Huddersfield","2019-07-31","132,657","16,047","12,674","8,034","3,104","1","172,517","112,423","645","48,999","8,289","1,624","171,980"
"10007149","The University of Hull","2019-07-31","126,614","25,722","11,525","27,826","814","755","193,256","138,341","3,779","65,940","16,808","2,089","226,957"
"10003239","ICON College of Technology and Management","2018-09-30","6,348","0","0","0","0","0","6,348","990","0","3,407","46","0","4,443"
"10003270","Imperial College of Science, Technology and Medicine","2019-07-31","313,177","156,766","368,020","152,132","7,105","76,554","1,073,754","651,205","2,774","376,340","78,890","20,411","1,129,620"
