﻿Title:,"Table 1 - Consolidated statement of comprehensive income and expenditure"
Subtitle:,"Academic years 2015/16 to 2024/25"
Reference ID:,DT031 Table 1
Data source:,HESA / OfS
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2015/16 
,Financial Year End,All 
Search:,


"","","Income (£000s)","Expenditure (£000s)"
"UKPRN","HE Provider","Tuition fees and education contracts","Funding body grants","Research grants and contracts","Other income","Investment income","Donations and endowments","Total income","Staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10003958","Liverpool School of Tropical Medicine","3,861","8,366","44,921","19,566","155","1,501","78,370","24,120","0","49,473","1,524","164","75,281"
"10007162","University of the Arts, London","207,542","34,099","1,236","34,665","1,895","1,453","280,890","146,767","0","97,723","2,694","7,000","254,184"
"10007769","London Business School","113,038","7,019","1,685","5,622","1,517","23,253","152,134","68,305","0","61,882","6,509","680","137,376"
"10007797","University of London (Institutes and activities)","56,220","9,385","1,619","78,787","4,031","1,326","151,368","62,967","0","84,185","4,998","2,904","155,054"
"10004048","London Metropolitan University","82,446","15,388","1,174","6,656","824","78","106,566","63,993","6,035","34,772","5,585","3,634","114,019"
"10004078","London South Bank University","102,794","15,684","2,232","16,960","313","195","138,178","71,581","0","48,822","9,749","4,755","134,907"
"10004063","London School of Economics and Political Science","177,155","25,339","31,503","71,853","5,304","29,482","340,636","170,887","0","116,364","11,186","8,729","307,166"
"10007771","London School of Hygiene and Tropical Medicine","17,016","23,734","110,104","13,936","347","2,662","167,799","72,907","0","84,685","4,033","1,231","162,856"
"10004113","Loughborough University","142,188","37,123","40,119","70,355","521","1,051","291,357","145,642","0","101,779","21,455","6,091","274,967"
"10004180","The Manchester Metropolitan University","232,972","26,135","6,113","31,703","992","61","297,976","160,281","0","89,228","13,894","6,294","269,697"
"10007798","The University of Manchester","423,990","129,587","273,479","142,396","7,731","10,052","987,235","508,712","0","347,622","60,231","28,700","945,265"
"10004351","Middlesex University","143,432","16,005","5,267","23,773","537","222","189,236","106,155","0","60,321","10,771","9,214","186,461"
"10007799","Newcastle University","220,567","72,725","110,248","63,646","3,252","5,765","476,203","257,341","0","172,419","18,188","8,514","456,462"
"10007138","The University of Northampton","95,797","13,217","906","16,589","2,785","249","129,543","59,731","0","39,071","10,416","10,634","119,852"
"10001282","University of Northumbria at Newcastle","178,749","24,605","5,779","37,081","387","178","246,779","140,673","0","83,026","15,648","6,864","246,211"
"10004775","Norwich University of the Arts","17,095","1,800","137","1,389","412","11","20,844","8,721","0","5,813","1,053","261","15,848"
"10007154","University of Nottingham","298,315","93,161","124,621","110,340","1,395","7,442","635,274","323,985","0","235,940","27,744","5,678","593,347"
