﻿Title:,"Table 1 - HE staff by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Mode of employment,All 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff"
"10007811","Lincoln Bishop University","0","95","0","0","95"
"10003956","Liverpool Hope University","0","280","0","0","280"
"10003957","Liverpool John Moores University","5","1,320","30","0","1,355"
"10003945","The Liverpool Institute for Performing Arts","0","60","0","0","60"
"10006842","The University of Liverpool","5","2,820","5","0","2,825"
"10003958","Liverpool School of Tropical Medicine","10","255","30","0","295"
"10007162","University of the Arts, London","0","2,080","5","0","2,085"
"10007769","London Business School","0","100","0","0","105"
"10007797","University of London (Institutes and activities)","0","80","0","0","80"
"10004048","London Metropolitan University","0","540","5","0","545"
"10004078","London South Bank University","0","870","65","0","940"
"10004063","London School of Economics and Political Science","0","1,655","0","0","1,655"
"10007771","London School of Hygiene and Tropical Medicine","0","795","0","0","795"
"10004113","Loughborough University","0","1,440","35","5","1,480"
"10004180","The Manchester Metropolitan University","0","2,360","85","0","2,445"
"10007798","The University of Manchester","10","5,065","0","0","5,075"
"10004351","Middlesex University","20","985","5","0","1,010"
"10007799","Newcastle University","25","2,720","5","0","2,750"
"10007138","The University of Northampton","0","790","0","0","790"
"10001282","University of Northumbria at Newcastle","0","1,385","0","0","1,385"
"10004775","Norwich University of the Arts","0","160","0","0","160"
"10007154","University of Nottingham","0","3,405","0","0","3,410"
"10004797","The Nottingham Trent University","0","1,735","0","0","1,735"
"10007773","The Open University","20","5,455","0","0","5,470"
"10004930","Oxford Brookes University","5","1,220","60","0","1,285"
"10007774","The University of Oxford","0","6,895","50","0","6,945"
"10005127","Arts University Plymouth","5","130","0","0","135"
"10007801","University of Plymouth","15","1,260","60","0","1,335"
"10007155","The University of Portsmouth","0","1,610","10","0","1,625"
"10005337","Queen Margaret University, Edinburgh","0","255","0","0","260"
"10007775","Queen Mary University of London","0","2,175","10","0","2,185"
"10005389","Ravensbourne University London","0","190","0","0","190"
"10007802","The University of Reading","5","1,680","0","0","1,690"
"10005500","Robert Gordon University","0","725","0","0","725"
"10007776","Roehampton University","5","510","10","0","520"
"10005523","Rose Bruford College of Theatre and Performance","0","75","0","0","75"
"10007835","Royal Academy of Music","0","290","0","0","290"
"10005545","Royal Agricultural University","0","60","0","0","60"
"10007777","Royal College of Art","0","165","0","0","165"
"10007778","Royal College of Music","0","280","0","0","280"
"10005561","Royal Conservatoire of Scotland","0","290","0","0","295"
"10007816","The Royal Central School of Speech and Drama","0","70","0","0","70"
"10005553","Royal Holloway and Bedford New College","0","1,185","0","0","1,185"
"10007837","Royal Northern College of Music","0","335","0","0","335"
"10007779","The Royal Veterinary College","0","295","0","0","295"
"10007803","The University of St. Andrews","0","1,165","0","0","1,165"
"10007782","St George's, University of London","5","460","5","0","470"
"10008026","St Mary's University College","0","60","0","0","60"
"10007843","St Mary's University, Twickenham","10","390","25","0","430"
"10007156","The University of Salford","0","920","5","0","925"
"10007780","SOAS University of London","5","770","0","0","775"
"10005700","SRUC","25","310","10","0","350"
"10005790","Sheffield Hallam University","0","2,070","0","0","2,070"
"10007157","The University of Sheffield","0","3,255","0","0","3,255"
"10007158","The University of Southampton","0","2,975","15","0","2,995"
"10006022","Southampton Solent University","0","730","20","0","750"
"10006299","University of Staffordshire","0","895","35","0","930"
"10007804","The University of Stirling","10","920","25","0","960"
"10037449","University of St Mark and St John","0","110","0","0","110"
"10008010","Stranmillis University College","0","55","0","0","60"
"10007805","The University of Strathclyde","0","1,470","0","0","1,475"
"10014001","University of Suffolk","0","190","0","0","190"
"10007159","The University of Sunderland","0","810","0","0","810"
"10007160","The University of Surrey","5","1,330","5","0","1,340"
"10007806","The University of Sussex","0","1,780","5","0","1,785"
"10007855","Swansea University","5","1,285","30","0","1,320"
"10007161","Teesside University","0","745","0","0","745"
"10008017","Trinity Laban Conservatoire of Music and Dance","5","335","0","0","340"
"10007858","University of Wales Trinity Saint David","50","595","5","0","650"
"10007114","University of the Highlands and Islands","0","40","0","0","40"
"10007807","Ulster University","10","1,235","35","0","1,280"
"10007784","University College London","0","7,215","0","0","7,220"
"10007793","University of South Wales","5","1,800","5","0","1,805"
"10008574","The University of Wales (central functions)","10","35","5","0","50"
"10007163","The University of Warwick","0","2,735","0","0","2,740"
"10007164","University of the West of England, Bristol","5","1,595","5","0","1,610"
"10007800","The University of the West of Scotland","0","585","0","0","585"
"10006566","The University of West London","0","870","5","0","875"
"10007165","The University of Westminster","0","1,670","5","0","1,675"
"10003614","The University of Winchester","0","715","0","0","715"
"10007166","The University of Wolverhampton","0","830","0","0","830"
"10007139","University of Worcester","0","690","10","0","705"
"10007833","Wrexham University","0","265","0","0","265"
"10007657","Writtle University College","0","110","0","0","110"
"10007713","York St John University","5","320","10","0","330"
"10007167","The University of York","0","1,710","0","0","1,710"
"","Total","565","199,770","1,425","5","201,770"
