﻿Title:,"Table 6 - HE Staff FTE by HE provider and activity standard occupational classification"
Subtitle:,"Academic years 2014/15 to 2024/25"
Reference ID:,DT025 Table 6
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-6.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2026
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Clerical and manual occupations","Total academic staff (excluding atypical)"
"10007769","London Business School","5","110","5","0","120"
"10007797","University of London (Institutes and activities)","5","70","0","0","75"
"10004048","London Metropolitan University","5","360","0","0","365"
"10004078","London South Bank University","5","735","40","0","780"
"10004063","London School of Economics and Political Science","0","1,160","0","0","1,160"
"10007771","London School of Hygiene and Tropical Medicine","0","850","0","0","850"
"10004113","Loughborough University","0","1,375","50","0","1,425"
"10004180","The Manchester Metropolitan University","5","1,965","55","0","2,025"
"10007798","The University of Manchester","5","4,580","0","0","4,585"
"10004351","Middlesex University","10","885","5","0","900"
"10007799","Newcastle University","20","2,640","35","0","2,695"
"10007138","The University of Northampton","10","585","0","0","595"
"10001282","University of Northumbria at Newcastle","0","1,405","0","0","1,405"
"10004775","Norwich University of the Arts","0","150","0","0","150"
"10007154","University of Nottingham","0","3,245","10","0","3,260"
"10004797","The Nottingham Trent University","5","1,820","0","0","1,825"
"10007773","The Open University","0","2,130","0","0","2,130"
"10004930","Oxford Brookes University","5","905","20","0","930"
"10007774","The University of Oxford","0","6,520","10","0","6,535"
"10005127","Arts University Plymouth","0","100","0","0","105"
"10007801","University of Plymouth","10","1,055","25","0","1,095"
"10007155","The University of Portsmouth","0","1,350","10","0","1,365"
"10005337","Queen Margaret University, Edinburgh","0","210","0","0","210"
"10007775","Queen Mary University of London","0","2,255","25","0","2,280"
"10005389","Ravensbourne University London","0","100","0","0","105"
"10007802","The University of Reading","15","1,345","0","0","1,360"
"10005500","Robert Gordon University","0","515","0","0","515"
"10007776","Roehampton University","0","480","15","0","495"
"10005523","Rose Bruford College of Theatre and Performance","0","25","0","0","30"
"10007835","Royal Academy of Music","0","85","0","0","85"
"10005545","Royal Agricultural University","0","55","0","0","55"
"10007777","Royal College of Art","0","120","0","0","120"
"10007778","Royal College of Music","0","85","0","0","85"
"10005561","Royal Conservatoire of Scotland","0","115","0","0","115"
"10007816","The Royal Central School of Speech and Drama","0","60","0","0","65"
"10005553","Royal Holloway and Bedford New College","0","820","0","0","820"
"10007837","Royal Northern College of Music","0","80","0","0","80"
"10007779","The Royal Veterinary College","0","285","0","0","290"
"10007803","The University of St. Andrews","0","1,130","0","0","1,130"
"10007782","St George's, University of London","5","370","0","0","375"
"10008026","St Mary's University College","0","40","0","0","40"
"10007843","St Mary's University, Twickenham","25","235","5","0","260"
"10007156","The University of Salford","0","960","0","0","965"
"10007780","SOAS University of London","5","425","0","0","430"
"10005700","SRUC","25","290","45","0","360"
"10005790","Sheffield Hallam University","0","1,685","0","0","1,685"
"10007157","The University of Sheffield","0","3,210","5","0","3,215"
"10007158","The University of Southampton","5","2,485","5","0","2,495"
"10006022","Southampton Solent University","0","580","5","0","580"
"10006299","University of Staffordshire","15","500","15","0","525"
"10007804","The University of Stirling","5","710","5","0","715"
"10037449","University of St Mark and St John","0","75","0","0","75"
"10008010","Stranmillis University College","0","45","0","0","50"
"10007805","The University of Strathclyde","0","1,575","0","0","1,575"
"10014001","University of Suffolk","0","190","0","0","190"
"10007159","The University of Sunderland","0","690","0","0","690"
"10007160","The University of Surrey","10","1,175","5","0","1,190"
"10007806","The University of Sussex","0","1,380","0","0","1,385"
"10007855","Swansea University","0","1,600","0","0","1,600"
"10007161","Teesside University","0","695","0","0","695"
"10008017","Trinity Laban Conservatoire of Music and Dance","5","115","0","0","120"
"10007858","University of Wales Trinity Saint David","35","450","10","0","495"
"10007114","University of the Highlands and Islands","0","80","0","0","80"
"10007807","Ulster University","15","1,130","15","0","1,160"
"10007784","University College London","0","6,770","5","0","6,780"
"10007793","University of South Wales","5","1,050","15","0","1,075"
"10008574","The University of Wales (central functions)","5","15","5","0","25"
"10007163","The University of Warwick","0","2,385","0","0","2,385"
